n_episodes,seeds, lr_critic,lr_actor,learn_every,weight_deacy,learn_num,gamma,tau,ou_sigma,ou_theta,eps_start,eps_ep_end,eps_final,batch_size,hidden_units,best_score,avg_score,time
2500,1,0.0001,0.001,5,1,3,0.99,0.07,0.2,0.12,5.5,400,0.1,256,128,2.600000038743019,0.5087000075913966,2775.175581216812
2500,1,0.0001,0.001,5,1,3,0.99,0.07,0.2,0.12,5.5,400,0.1,256,256,2.600000038743019,0.5057000075466931,4756.668622493744
2500,1,0.0001,0.001,5,1,3,0.99,0.07,0.2,0.12,5.5,400,0.1,512,128,2.600000038743019,0.5046000075526536,6046.945465564728
2500,1,0.0001,0.001,5,1,3,0.99,0.07,0.2,0.12,5.5,400,0.1,512,256,2.7000000402331352,0.5069000075571239,5234.844866275787
2500,1,0.0001,0.001,5,1,10,0.99,0.07,0.2,0.12,5.5,400,0.1,256,128,0.10000000149011612,0.06300000093877316,13489.442022562027
2500,1,0.0001,0.001,5,1,10,0.99,0.07,0.2,0.12,5.5,400,0.1,256,256,0.10000000149011612,0.055000000931322575,13975.91536617279
2500,1,0.0001,0.001,5,1,10,0.99,0.07,0.2,0.12,5.5,400,0.1,512,128,0.20000000298023224,0.05120000082999468,22632.40492415428
2500,1,0.0001,0.001,5,1,10,0.99,0.07,0.2,0.12,5.5,400,0.1,512,256,0.4000000059604645,0.05700000084936619,22379.804232358932
2500,1,0.0001,0.0001,5,1,3,0.99,0.07,0.2,0.12,5.5,400,0.1,256,128,2.600000038743019,0.5030000074952841,3702.9699308872223
2500,1,0.0001,0.0001,5,1,3,0.99,0.07,0.2,0.12,5.5,400,0.1,256,256,0.6000000089406967,0.09670000148937107,4344.412487983704
2500,1,0.0001,0.0001,5,1,3,0.99,0.07,0.2,0.12,5.5,400,0.1,512,128,2.7000000402331352,0.5145000076852739,6355.091701745987
2500,1,0.0001,0.0001,5,1,3,0.99,0.07,0.2,0.12,5.5,400,0.1,512,256,2.600000038743019,0.5216000077873468,7548.116420507431
2500,1,0.0001,0.0001,5,1,10,0.99,0.07,0.2,0.12,5.5,400,0.1,256,128,0.10000000149011612,0.025714286203895296,8705.917247772217
2500,1,0.0001,0.0001,5,1,10,0.99,0.07,0.2,0.12,5.5,400,0.1,256,256,2.600000038743019,0.507900007572025,17160.301390886307
2500,1,0.0001,0.0001,5,1,10,0.99,0.07,0.2,0.12,5.5,400,0.1,512,128,0.20000000298023224,0.10000000149011612,16606.166447162628
2500,1,0.0001,0.0001,5,1,10,0.99,0.07,0.2,0.12,5.5,400,0.1,512,256,1.1000000163912773,0.15490000231191517,42809.32876610756
2500,10,0.0001,0.001,5,1,3,0.99,0.07,0.2,0.12,5.5,400,0.1,256,128,0.10000000149011612,0.02500000037252903,2464.287462949753
2500,10,0.0001,0.001,5,1,3,0.99,0.07,0.2,0.12,5.5,400,0.1,256,256,0.20000000298023224,0.054300000909715894,3981.547946691513
2500,10,0.0001,0.001,5,1,3,0.99,0.07,0.2,0.12,5.5,400,0.1,512,128,0.4000000059604645,0.13800000205636023,10357.878690958023
2500,10,0.0001,0.001,5,1,3,0.99,0.07,0.2,0.12,5.5,400,0.1,512,256,2.7000000402331352,0.5056000075489283,8442.479956626892
2500,10,0.0001,0.001,5,1,10,0.99,0.07,0.2,0.12,5.5,400,0.1,256,128,0.10000000149011612,0.06000000089406967,13739.94264125824
2500,10,0.0001,0.001,5,1,10,0.99,0.07,0.2,0.12,5.5,400,0.1,256,256,0.20000000298023224,0.05940000113099814,14012.758537530899
2500,10,0.0001,0.001,5,1,10,0.99,0.07,0.2,0.12,5.5,400,0.1,512,128,0.30000000447034836,0.06030000092461705,19410.896496534348
2500,10,0.0001,0.001,5,1,10,0.99,0.07,0.2,0.12,5.5,400,0.1,512,256,0.30000000447034836,0.09440000146627427,27852.748715400696
2500,10,0.0001,0.0001,5,1,3,0.99,0.07,0.2,0.12,5.5,400,0.1,256,128,2.600000038743019,0.509000007584691,6586.289416313171
2500,10,0.0001,0.0001,5,1,3,0.99,0.07,0.2,0.12,5.5,400,0.1,256,256,2.600000038743019,0.5008000074699521,3106.0036845207214
2500,10,0.0001,0.0001,5,1,3,0.99,0.07,0.2,0.12,5.5,400,0.1,512,128,2.600000038743019,0.5082000076025724,5472.49954366684
2500,10,0.0001,0.0001,5,1,3,0.99,0.07,0.2,0.12,5.5,400,0.1,512,256,0.1900000050663948,0.061000000908970835,6668.743765830994
